Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Nuggets,PlatPrepare,Commun,Petit,20,18.0,296.0,15.0,18.0,18.0,1.0,60
Saumon fumé,Poisson,Commun,Tranche,30,28.0,117.0,18.0,0.0,4.0,0.0,0
Petit pois,Legume,Commun,Petit,4,5.0,81.0,5.0,14.0,0.4,5.0,50
Navet,Legume,Commun,Unitaire,100,100.0,28.0,1.0,6.0,0.1,2.0,30
Flan,Patisserie,Commun,Part,120,115.0,146.0,5.0,21.0,5.0,0.0,55
Clafoutis,Patisserie,Commun,Unitaire,120,115.0,172.0,5.0,27.0,5.0,1.0,55
Profiteroles,Patisserie,Commun,Unitaire,40,38.0,280.0,6.0,29.0,16.0,1.0,55
Mousse au chocolat,Patisserie,Commun,Unitaire,80,75.0,313.0,6.0,26.0,21.0,2.0,45
Pain perdu,Patisserie,Commun,Tranche,100,95.0,228.0,8.0,30.0,8.0,1.0,60
Chocolat chaud,Boisson,Commun,Liquide,100,100.0,77.0,3.2,10.0,3.0,1.0,60
Cafè Latte Starbucks,Boisson,Commun,Liquide,473,473.0,54.0,3.0,6.6,2.0,0.0,45
Boudin blanc,Charcuterie,Commun,Unitaire,180,180,196,10,7,15,0,0
Glace vanille,Snack,Commun,Unitaire,40,120,207,3.5,24,10,0,60
Knacki,Viande,Commun,Petit,35,35.0,270.0,12.0,2.0,24.0,0,0
Chocolat Noir,Snack,Commun,Morceau,20,20.0,550.0,7.0,25.0,40.0,2.0,0
Bol de Céréal,Céréales,Commun,Unitaire,270,120.0,110.0,3.9,19.0,2.2,0.6,70
